PitName,Depth
Pit1_1_1,33
Pit1_1_2,31.5
Pit1_1_3,30
Pit1_1_4,29
Pit1_2_1,33
Pit1_2_2,31
Pit1_2_3,29
Pit1_2_4,28
Pit1_3_3,30
Pit1_3_4,28
Pit1_4_1,27
Pit1_4_2,25
Pit1_4_3,23
Pit1_4_4,22
Pit1_5_1,27
Pit1_5_2,25
Pit1_5_3,23
Pit1_5_4,22
Pit1_6_1,27
Pit1_6_2,25
Pit1_6_3,23
Pit1_6_4,22
Pit1_8_1,20
Pit1_8_2,18
Pit1_8_3,16
Pit1_8_4,15
Pit1_9_1,20
Pit1_9_2,18
Pit1_9_3,16
Pit1_9_4,15
Pit1_10_1,13.5
Pit1_10_2,12
Pit1_10_3,11
Pit1_10_4,11
Pit1_11_1,13.5
Pit1_11_2,12
Pit1_11_3,11
Pit1_11_4,11
Pit1_12_1,13.5
Pit1_12_2,12
Pit1_12_3,11
Pit1_12_4,11
Pit1_13_1,9
Pit1_13_2,7
Pit1_13_3,5
Pit1_13_4,4
Pit1_14_1,9
Pit1_14_2,7
Pit1_14_3,5
Pit1_14_4,4
Pit1_15_1,9
Pit1_15_2,7
Pit1_15_3,5
Pit1_15_4,4
